Make,Model,Fuel,kmpl
Ford,Manual transmission (2012 Ford Focus Sedan),Gasoline,13.179464000000001
Ford,Manual transmission (2011 Ford Focus Sedan),Gasoline,12.75432
Ford,Automatic transmission (2011 Ford Focus Sedan),Gasoline,12.541748
Ford,Manual transmission (2010 Ford Focus Sedan),Gasoline,12.541748
Ford,Automatic transmission (2010 Ford Focus Sedan),Gasoline,12.329176
Nissan,Manual transmission (2011 Nissan Altima Coupe),Gasoline,11.478888000000001
Nissan,Manual transmission (2011 Nissan Altima Coupe),Gasoline,9.56574
Volvo,Automatic transmission (2012 Volvo S80),Gasoline,9.353168
Volvo,Automatic transmission (2012 Volvo S80),Gasoline,10.416028
Volvo,Automatic transmission (2012 Volvo XC60),Gasoline,8.502880000000001
Volvo,Automatic transmission (2012 Volvo XC60),Gasoline,9.353168
Volvo,Automatic transmission (2012 Volvo XC70),Gasoline,8.502880000000001
Volvo,Automatic transmission (2012 Volvo XC70),Gasoline,9.353168
Volvo,Automatic transmission (2012 Volvo XC90),Gasoline,8.290308
Nissan,Manual transmission (2010 Nissan Altima Coupe),Gasoline,11.691460000000001
Nissan,Manual transmission (2010 Nissan Altima Coupe),Gasoline,9.56574
Toyota,Manual transmission (2010 Toyota Camry),Gasoline,11.691460000000001
Toyota,Automatic transmission (2010 Toyota Camry),Gasoline,11.478888000000001
Toyota,Automatic transmission (2010 Toyota Camry),Gasoline,9.990884000000001
Volvo,Automatic transmission (2010 Volvo V50),Gasoline,9.778312
Bentley,Automatic transmission (2012 Bentley Continental GT),E85,4.676584
Bentley,Automatic transmission (2010 Bentley Continental GT),Gasoline,5.739444000000001
Ford,Manual transmission (2010 Ford Focus Coupe),Gasoline,12.541748
Ford,Automatic transmission (2010 Ford Focus Coupe),Gasoline,12.329176
Bentley,Automatic transmission (2011 Bentley Continental GTC),Gasoline,6.164588
Bentley,Automatic transmission (2010 Bentley Continental GTC),Gasoline,5.739444000000001
Bentley,Automatic transmission (2010 Bentley Azure T),Gasoline,5.1017280000000005
Toyota,Manual transmission (2011 Toyota Corolla),Gasoline,13.392036000000001
Toyota,Automatic transmission (2011 Toyota Corolla),Gasoline,12.75432
Rolls-Royce,Automatic transmission (2010 Rolls-Royce Ghost),Gasoline,7.014876
Audi,Automatic transmission (2011 Audi A5 Cabriolet),Gasoline,10.6286
Audi,Automatic transmission (2010 Audi A5 Cabriolet),Gasoline,9.778312
Rolls-Royce,Automatic transmission (2010 Rolls-Royce Phantom Sedan),Gasoline,6.164588
Audi,Manual transmission (2012 Audi A5 Coupe),Gasoline,11.053744
Audi,Automatic transmission (2012 Audi A5 Coupe),Gasoline,10.6286
Rolls-Royce,Automatic transmission (2010 Rolls-Royce Phantom Coupe),Gasoline,6.164588
Audi,Automatic transmission (2011 Audi A5 Coupe),Gasoline,10.6286
Audi,Manual transmission (2011 Audi A5 Coupe),Gasoline,11.053744
Audi,Manual transmission (2010 Audi A5 Coupe),Gasoline,11.053744
Audi,Automatic transmission (2010 Audi A5 Coupe),Gasoline,9.56574
Audi,Automatic transmission (2010 Audi A5 Coupe),Gasoline,10.203456000000001
Rolls-Royce,Automatic transmission (2010 Rolls-Royce Phantom Drophead Coupe),Gasoline,6.164588
Rolls-Royce,Automatic transmission (2011 Rolls-Royce Ghost),Gasoline,7.014876
Rolls-Royce,Automatic transmission (2011 Rolls-Royce Phantom Sedan),Gasoline,6.164588
Honda,Manual transmission (2011 Honda Accord Sedan),Gasoline,11.904032
Honda,Automatic transmission (2011 Honda Accord Sedan),Gasoline,12.116604
Honda,Automatic transmission (2011 Honda Accord Sedan),Gasoline,10.6286
Rolls-Royce,Automatic transmission (2011 Rolls-Royce Phantom Coupe),Gasoline,6.164588
Rolls-Royce,Automatic transmission (2011 Rolls-Royce Phantom Drophead Coupe),Gasoline,6.164588
Volkswagen,Manual transmission (2011 Volkswagen Jetta),Gasoline,11.904032
Volkswagen,Automatic transmission (2011 Volkswagen Jetta),Gasoline,11.691460000000001
Volkswagen,Automatic transmission (2011 Volkswagen Jetta),Gasoline,11.053744
Volkswagen,Manual transmission (2011 Volkswagen Jetta),Gasoline,12.329176
Toyota,Manual transmission (2010 Toyota Corolla),Gasoline,12.966892000000001
Toyota,Automatic transmission (2010 Toyota Corolla),Gasoline,12.75432
Toyota,Manual transmission (2010 Toyota Corolla),Gasoline,11.053744
Toyota,Automatic transmission (2010 Toyota Corolla),Gasoline,11.053744
Toyota,Automatic transmission (2011 Toyota FJ Cruiser),Gasoline,8.290308
Toyota,Manual transmission (2011 Toyota FJ Cruiser),Gasoline,7.4400200000000005
Toyota,Automatic transmission (2011 Toyota FJ Cruiser),Gasoline,8.077736
Audi,Automatic transmission (2012 Audi A6 Sedan),Gasoline,9.990884000000001
