Country,Fuel Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Gambia,Petrol,44.465,45.8675,47.27,52.88,51.44,45.11,53.2,71.34,74.56,74.56
Germany,Diesel,1.14,1.06,1.14,1.27,1.24,1.09,1.37,1.92,1.71,1.68
Ghana,Diesel,3.84,4.035,4.23,5.01,5.34,4.97,6.2,13.65,15.86,14.98
Ghana,Petrol,3.9249999999999994,4.0874999999999995,4.25,4.9,5.23,4.9,6.21,11.84,15.16,14.12
Greece,Diesel,1.19,1.13,1.28,1.4,1.38,1.21,1.4,1.89,1.66,1.63
Greece,Petrol,1.49,1.44,1.53,1.61,1.59,1.43,1.67,2.05,1.87,1.85
Grenada,Diesel,2.6,2.5,2.61,2.94,3.0,2.68,3.0,3.81,3.48,3.45
Grenada,Petrol,2.9,2.83,3.0,3.31,3.17,2.83,3.32,4.02,3.58,3.68
Guatemala,Diesel,17.46,16.29,17.81,20.4,20.3,16.48,21.84,29.98,26.47,25.43
Guatemala,Petrol,21.37,20.18,22.25,24.38,23.36,19.33,25.93,31.86,29.62,29.35
Honduras,Diesel,65.4,68.475,71.55,83.85,81.31,65.78,80.74,110.77,94.93,87.77
Honduras,Petrol,75.72,78.075,80.43,89.85,86.14,74.51,92.25,107.78,96.51,92.26
Hungary,Diesel,343.43,330.14,354.54,393.36,394.38,362.46,442.22,654.88,602.4,604.83
Hungary,Petrol,346.72,326.65,343.83,371.84,375.25,348.67,440.0,593.59,598.6,598.83
Iceland,Diesel,183.1,173.34,171.74,200.08,206.68,197.8,218.4,293.73,293.5,296.7
Iceland,Petrol,190.72,185.08,185.73,212.98,217.43,205.81,230.13,303.49,300.93,300.05
India,Diesel,51.13,54.85,58.75,70.9,68.21,71.62,88.47,91.82,90.25,89.17
India,Petrol,63.13,63.26,69.58,78.02,73.0,79.54,99.19,101.44,98.61,96.53
Indonesia,Diesel,9691.67,7729.17,8012.5,7850.0,9962.5,9612.5,9625.0,15454.17,14860.0,12177.08
Indonesia,Petrol,8116.67,7691.67,8208.33,8950.0,9850.0,9000.0,9150.0,12604.17,13360.0,13550.0
Iran,Diesel,3666.6666666666665,3833.333333333333,4000.0,4166.666666666667,4333.333333333333,4500.0,4500.0,4500.0,4500.0,4500.0
Iran,Petrol,8722.5,9885.0,11047.5,12210.0,12210.0,15000.0,15000.0,15000.0,15000.0,15000.0
Ireland,Diesel,1.25,1.14,1.22,1.34,1.33,1.21,1.38,1.9,1.72,1.72
Ireland,Petrol,1.34,1.26,1.33,1.43,1.41,1.3,1.47,1.84,1.69,1.75
Israel,Diesel,1.42,1.3,1.53,1.99,1.83,1.13,1.59,3.0,2.66,2.66
Italy,Diesel,1.34,1.24,1.35,1.46,1.47,1.29,1.5,1.82,1.77,1.72
Italy,Petrol,1.5,1.42,1.51,1.59,1.57,1.42,1.64,1.82,1.85,1.83
Jamaica,Diesel,105.15,100.86,111.45,130.68,134.42,121.71,139.63,197.63,184.28,181.9
Jamaica,Petrol,108.66,108.01,118.89,134.46,133.45,121.95,150.33,188.19,176.67,178.69
Japan,Diesel,109.83,98.67,107.0,125.7,126.91,117.81,134.0,151.7,153.94,153.5
Japan,Petrol,134.5,122.25,132.83,148.6,146.22,134.57,154.0,170.1,173.0,173.81
Jordan,Diesel,0.48,0.44,0.48,0.6,0.6,0.5,0.57,0.73,0.74,0.73
Jordan,Petrol,0.59,0.56,0.67,0.78,0.76,0.67,0.78,0.95,0.94,0.92
Kazakhstan,Diesel,193.375,196.8125,200.25,203.6875,207.125,210.5625,214.0,252.75,291.5,295.0
Kazakhstan,Petrol,149.375,152.8125,156.25,159.6875,163.125,166.5625,170.0,170.0,196.25,205.0
Kenya,Diesel,83.905,87.22,87.93,103.84,101.83,92.95,107.18,138.78,179.54,178.46
Korea South,Diesel,1299.64,1182.5,1282.8,1394.08,1355.33,1190.13,1391.6,1843.41,1558.8,1538.56
Korea South,Petrol,1510.43,1402.63,1491.3,1581.37,1472.25,1381.39,1590.57,1812.89,1633.99,1649.8
Kuwait,Diesel,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
Kuwait,Petrol,0.07,0.09,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1
Kyrgyzstan,Diesel,38.64,32.22,38.16,42.44,43.27,37.16,46.12,65.88,67.75,70.59
Kyrgyzstan,Petrol,42.51,36.57,39.69,43.34,41.28,34.9,50.15,60.29,58.33,63.4
Lao PDR,Petrol,6636.24,7192.08,7747.92,9285.0,9153.33,8436.25,10491.39,18450.17,21591.25,23831.81
Laos,Diesel,5252.509999999999,5984.17,6715.83,8306.67,8544.17,7711.67,9278.33,18298.4,19739.38,20430.56
Latvia,Diesel,1.05,0.98,1.06,1.21,1.22,1.04,1.22,1.75,1.59,1.6
Latvia,Petrol,1.13,1.08,1.16,1.28,1.27,1.12,1.36,1.79,1.64,1.64
Lebanon,Diesel,17300.0,17200.0,17200.0,17200.0,17200.0,17200.0,17200.0,17200.0,17200.0,17200.0
Lebanon,Petrol,25000.0,24600.0,24600.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0
Lesotho,Diesel,9.6,9.26,10.23,12.39,13.27,11.59,13.34,21.61,20.89,21.49
Lesotho,Petrol,10.15,10.02,10.59,12.26,12.6,11.54,14.65,19.34,18.42,19.6
